epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.603,1.18751,0.57249,0.79582,0.36403,0.28571,0.18565,0.03994,3.63114,2.21217,1.07686,0.0013231,0.0013231,0.0013231
43,129.576,1.27109,0.54626,0.80814,0.36403,0.28571,0.18565,0.03994,3.63114,2.21217,1.07686,0.00134657,0.00134657,0.00134657
44,133.94,1.33242,0.60299,0.81406,0.41766,0.30357,0.26089,0.05306,3.34635,2.25904,1.03389,0.00136964,0.00136964,0.00136964
45,135.891,1.15484,0.54924,0.80206,0.41766,0.30357,0.26089,0.05306,3.34635,2.25904,1.03389,0.00139232,0.00139232,0.00139232
46,137.937,1.33341,0.57982,0.80861,0.29972,0.30357,0.2075,0.04698,3.49655,1.63594,1.04896,0.0014146,0.0014146,0.0014146
47,139.921,1.26734,0.54031,0.8093,0.29972,0.30357,0.2075,0.04698,3.49655,1.63594,1.04896,0.00143648,0.00143648,0.00143648
48,144.314,1.17272,0.54455,0.81423,0.72487,0.7528,0.77924,0.29656,2.13567,0.94775,0.92104,0.00145797,0.00145797,0.00145797
49,146.69,1.32088,0.55355,0.81211,0.72487,0.7528,0.77924,0.29656,2.13567,0.94775,0.92104,0.00147906,0.00147906,0.00147906
50,148.644,1.25888,0.58188,0.80908,0.90803,0.89286,0.90516,0.44291,1.86402,0.75355,0.89586,0.00149975,0.00149975,0.00149975
51,154.288,1.20601,0.53907,0.7957,0.90803,0.89286,0.90516,0.44291,1.86402,0.75355,0.89586,0.001505,0.001505,0.001505
52,156.527,1.16275,0.54335,0.79656,0.9531,0.89286,0.95988,0.50786,1.56472,0.90197,0.84684,0.0014951,0.0014951,0.0014951
53,164.535,1.30943,0.55621,0.80602,0.9531,0.89286,0.95988,0.50786,1.56472,0.90197,0.84684,0.0014852,0.0014852,0.0014852
54,170.806,1.28477,0.56354,0.79502,0.92341,0.8612,0.9628,0.60281,1.33981,0.86655,0.82912,0.0014753,0.0014753,0.0014753
55,173.334,1.13671,0.52024,0.80194,0.92341,0.8612,0.9628,0.60281,1.33981,0.86655,0.82912,0.0014654,0.0014654,0.0014654
56,178.871,1.29975,0.55865,0.79185,0.92701,0.91071,0.96397,0.55947,1.48395,0.74507,0.82897,0.0014555,0.0014555,0.0014555
57,181.038,1.26458,0.57584,0.79537,0.92701,0.91071,0.96397,0.55947,1.48395,0.74507,0.82897,0.0014456,0.0014456,0.0014456
58,183.5,1.53239,0.62171,0.81213,0.93899,0.89286,0.95739,0.57077,1.42551,0.73045,0.82297,0.0014357,0.0014357,0.0014357
59,185.845,1.29689,0.63325,0.79202,0.93899,0.89286,0.95739,0.57077,1.42551,0.73045,0.82297,0.0014258,0.0014258,0.0014258
60,187.882,1.23244,0.60681,0.8183,0.97681,0.92857,0.98166,0.6387,1.21074,0.71052,0.82227,0.0014159,0.0014159,0.0014159
61,190.695,1.3189,0.57856,0.80384,0.97681,0.92857,0.98166,0.6387,1.21074,0.71052,0.82227,0.001406,0.001406,0.001406
62,192.997,1.34735,0.55119,0.81097,0.95747,0.92857,0.95883,0.65354,1.18734,0.67202,0.8181,0.0013961,0.0013961,0.0013961
63,195.849,1.2652,0.58827,0.78683,0.95747,0.92857,0.95883,0.65354,1.18734,0.67202,0.8181,0.0013862,0.0013862,0.0013862
64,201.396,1.22719,0.54885,0.80668,0.998,0.89286,0.94586,0.62093,1.3732,0.63909,0.83034,0.0013763,0.0013763,0.0013763
65,203.453,1.28595,0.54477,0.80219,0.998,0.89286,0.94586,0.62093,1.3732,0.63909,0.83034,0.0013664,0.0013664,0.0013664
66,205.618,1.35687,0.57558,0.7941,0.97711,0.89286,0.95193,0.63699,1.30659,0.60715,0.83014,0.0013565,0.0013565,0.0013565
67,208.004,1.23144,0.54698,0.80021,0.97711,0.89286,0.95193,0.63699,1.30659,0.60715,0.83014,0.0013466,0.0013466,0.0013466
68,210.077,1.29426,0.57989,0.79892,0.9907,0.91071,0.98153,0.62075,1.3746,0.69359,0.829,0.0013367,0.0013367,0.0013367
69,212.066,1.2976,0.54682,0.80826,0.9907,0.91071,0.98153,0.62075,1.3746,0.69359,0.829,0.0013268,0.0013268,0.0013268
