epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,539.544,0.69544,0.3391,0.7942,1,0.99868,0.995,0.80814,0.86264,0.38704,0.8126,0.0001883,0.0001883,0.0001883
185,542.388,0.7975,0.36377,0.78772,1,0.99868,0.995,0.80814,0.86264,0.38704,0.8126,0.0001784,0.0001784,0.0001784
186,544.509,0.75333,0.36558,0.77999,0.98115,1,0.99482,0.80714,0.8312,0.38169,0.81392,0.0001685,0.0001685,0.0001685
187,547.061,0.67364,0.32389,0.78706,0.98115,1,0.99482,0.80714,0.8312,0.38169,0.81392,0.0001586,0.0001586,0.0001586
188,549.138,0.70299,0.32823,0.78519,0.97989,1,0.99482,0.81733,0.82033,0.37552,0.81354,0.0001487,0.0001487,0.0001487
189,553.907,0.69976,0.33719,0.78621,0.97989,1,0.99482,0.81733,0.82033,0.37552,0.81354,0.0001388,0.0001388,0.0001388
190,556.496,0.72231,0.34448,0.77422,0.98663,0.98214,0.99482,0.81773,0.80772,0.36057,0.81299,0.0001289,0.0001289,0.0001289
191,564.998,0.67326,0.33913,0.77643,0.98663,0.98214,0.99482,0.81773,0.80772,0.36057,0.81299,0.000119,0.000119,0.000119
192,568.363,0.67362,0.34885,0.77674,0.98769,0.98214,0.99482,0.81356,0.80445,0.3661,0.81224,0.0001091,0.0001091,0.0001091
193,570.439,0.72982,0.35799,0.7771,0.98769,0.98214,0.99482,0.81356,0.80445,0.3661,0.81224,9.92e-05,9.92e-05,9.92e-05
194,573.58,0.65908,0.34527,0.78105,1,0.99739,0.995,0.81684,0.8007,0.362,0.81281,8.93e-05,8.93e-05,8.93e-05
195,575.757,0.71898,0.34496,0.77621,1,0.99739,0.995,0.81684,0.8007,0.362,0.81281,7.94e-05,7.94e-05,7.94e-05
196,577.778,0.67744,0.33552,0.77179,1,0.99602,0.995,0.80839,0.80818,0.35594,0.81419,6.95e-05,6.95e-05,6.95e-05
197,582.372,0.6941,0.33701,0.77574,1,0.99602,0.995,0.80839,0.80818,0.35594,0.81419,5.96e-05,5.96e-05,5.96e-05
198,584.416,0.66587,0.33954,0.76505,1,0.99562,0.995,0.80329,0.80915,0.35035,0.81433,4.97e-05,4.97e-05,4.97e-05
199,586.49,0.68136,0.31972,0.78725,1,0.99562,0.995,0.80329,0.80915,0.35035,0.81433,3.98e-05,3.98e-05,3.98e-05
200,588.548,0.62643,0.32736,0.77513,1,0.99454,0.995,0.80782,0.8113,0.34787,0.81462,2.99e-05,2.99e-05,2.99e-05
